agent,density,seed,mean_speed_mps,episode_length_steps,episode_length_s,distance_m,collided,reached_end,truncated,lane_changes,lane_changes_per_min,jerk_rms,near_miss_steps,near_miss_rate,return_total
random,low,0,36.05,200,20.0,721.0,False,False,True,126,378.0,0.1767766952966369,0,0.0,181.32546539893528
random,low,1,33.83862099500547,200,20.0,676.7724199001101,False,False,True,126,378.0,1.7773146142141274,0,0.0,175.0771279920389
random,low,2,32.894659499999946,200,20.0,657.8931899999981,False,False,True,116,348.0,0.12811622545563792,0,0.0,178.16919012892717
random,medium,0,20.5,3,0.30000000000000004,6.15,True,False,False,3,599.9999999999999,0.0,1,0.3333333333333333,-49.027981784054894
random,medium,1,21.0,7,0.7000000000000001,14.700000000000001,True,False,False,5,428.57142857142856,0.0,1,0.14285714285714285,-46.72021662204991
random,medium,2,22.875,22,2.2,50.324999999999996,True,False,False,11,300.0,0.0,4,0.18181818181818182,-38.504528447029145
random,high,0,26.36513912728671,193,19.3,508.8471851566334,True,False,False,121,376.1658031088083,4.035493234176496,88,0.45595854922279794,19.023672417239226
random,high,1,21.875,14,1.4000000000000001,30.625000000000004,True,False,False,8,342.85714285714283,0.0,1,0.07142857142857142,-42.39008092556694
random,high,2,22.496893787046638,28,2.8000000000000003,62.991302603730595,True,False,False,15,321.4285714285714,2.7773365932890592,18,0.6428571428571429,-43.77934318740585
greedy,low,0,36.05,200,20.0,721.0,False,False,True,0,0.0,0.1767766952966369,0,0.0,187.62546539893512
greedy,low,1,33.93487172000009,200,20.0,678.6974344000015,False,False,True,1,3.0,0.13401281974497806,0,0.0,187.57546539893514
greedy,low,2,32.894659499999946,200,20.0,657.8931899999981,False,False,True,0,0.0,0.12811622545563792,0,0.0,183.96919012892704
greedy,medium,0,20.75,5,0.5,10.375,True,False,False,5,600.0,0.0,0,0.0,-47.437945782947175
greedy,medium,1,32.528179271712645,200,20.0,650.563585434253,False,False,True,171,513.0,4.3955737877909815,66,0.33,108.39016219753681
greedy,medium,2,32.49854942756547,200,20.0,649.9709885513092,False,False,True,200,600.0,3.705470755927735,113,0.565,91.64147571990422
greedy,high,0,26.804258076158817,200,20.0,536.0851615231762,False,False,True,0,0.0,0.9416791476323664,14,0.07,137.02035691716378
greedy,high,1,29.662732830720483,200,20.0,593.2546566144101,False,False,True,103,309.0,3.7756670185277796,52,0.26,110.00188501501705
greedy,high,2,24.7531522961705,199,19.900000000000002,492.5877306937924,True,False,False,89,268.34170854271355,3.7214183134011787,47,0.23618090452261306,36.69781352734359
safe_rule,low,0,36.05,200,20.0,721.0,False,False,True,0,0.0,0.1767766952966369,0,0.0,187.62546539893512
safe_rule,low,1,33.93487172000009,200,20.0,678.6974344000015,False,False,True,1,3.0,0.13401281974497806,0,0.0,187.57546539893514
safe_rule,low,2,32.894659499999946,200,20.0,657.8931899999981,False,False,True,0,0.0,0.12811622545563792,0,0.0,183.96919012892704
safe_rule,medium,0,28.619063351553155,200,20.0,572.3812670310626,False,False,True,2,6.0,0.47505870775927933,0,0.0,158.57038448748926
safe_rule,medium,1,32.52938386793564,200,20.0,650.5876773587127,False,False,True,135,405.0,4.280932216598487,65,0.325,112.20615188491116
safe_rule,medium,2,32.49688510982381,200,20.0,649.9377021964766,False,False,True,146,438.0,3.7122008434543714,114,0.57,93.70503217872398
safe_rule,high,0,26.804258076158817,200,20.0,536.0851615231762,False,False,True,0,0.0,0.9416791476323664,14,0.07,137.02035691716378
safe_rule,high,1,29.87155589322319,200,20.0,597.4311178644651,False,False,True,63,189.0,3.13429256492545,32,0.16,130.25662474957747
safe_rule,high,2,25.143469259478966,200,20.0,502.8693851895796,False,False,True,2,6.0,1.2327143067812405,15,0.075,125.41575665092991
