agent,density,n_seeds,mean_speed_mps_mean,mean_speed_mps_std,return_total_mean,return_total_std,collision_rate,reached_end_rate,lane_changes_per_min_mean,lane_changes_per_min_std,jerk_rms_mean,jerk_rms_std,near_miss_rate_mean,near_miss_rate_std,episode_length_s_mean
default,low,5,34.264739484488786,1.901059990080061,248.0506294727595,48.77361980033892,0.0,1.0,2.059942391390726,0.11538628958652462,0.2838774386039285,0.3146379997602302,0.14875,0.2975,29.220000000000006
default,medium,5,32.75355661354098,1.793681013182,200.45377718826785,65.07227769287081,0.0,1.0,1.9681585429515611,0.10800409943807643,0.5084381617610362,0.24601616866928439,0.4692666109343991,0.4066376406907897,30.580000000000002
default,high,5,30.175263313442098,3.9193638697542865,119.7898112895565,87.7564995286694,0.2,0.8,7.25631536003053,10.657769122601353,0.7053571394865649,0.21665164442634627,0.7522909132042258,0.19235392012344085,25.360000000000003
safety_heavy,low,5,34.978106902711794,1.1288928171835757,272.7861103449328,7.940452421528589,0.0,1.0,2.1030608582896813,0.06929603028039368,0.12378797408387252,0.01725836654094242,0.0,0.0,28.560000000000002
safety_heavy,medium,5,32.751803982133794,1.796527876053473,200.07128884409252,65.12778632747285,0.0,1.0,1.969231024853429,0.1062524528947495,0.4954707642577956,0.24342381861696338,0.47136152558271444,0.406809832321487,30.560000000000002
safety_heavy,high,5,31.598017000171886,1.42810313046119,157.98385215439743,27.67943318548263,0.0,1.0,1.9002386009686965,0.08666423623579164,0.7679704282507578,0.163028170677095,0.7056841657130846,0.15763035460515284,31.640000000000004
speed_heavy,low,5,34.978106902711794,1.1288928171835757,272.7861103449328,7.940452421528589,0.0,1.0,2.1030608582896813,0.06929603028039368,0.12378797408387252,0.01725836654094242,0.0,0.0,28.560000000000002
speed_heavy,medium,5,32.75162333227978,1.7966039115346721,200.27874254635614,64.87960415642468,0.0,1.0,1.969231024853429,0.1062524528947495,0.47013138826545725,0.21745845442235803,0.4720025512237401,0.40757846626064004,30.560000000000002
speed_heavy,high,5,31.598017000171886,1.42810313046119,157.98385215439743,27.67943318548263,0.0,1.0,1.9002386009686965,0.08666423623579164,0.7679704282507578,0.163028170677095,0.7056841657130846,0.15763035460515284,31.640000000000004
jerk_heavy,low,5,34.26433324263472,1.901715356105263,246.67183608026727,51.49735732680464,0.0,1.0,2.059942391390726,0.11538628958652462,0.2554582667032129,0.2578916189214501,0.159375,0.31875,29.220000000000006
jerk_heavy,medium,5,30.505390548535967,5.182598519689451,170.06337853482148,120.41842967089786,0.2,0.8,25.583543158336177,47.20834658649702,0.34767339627242666,0.26613920964945936,0.37551039202892644,0.3365900194610804,24.44
jerk_heavy,high,5,30.325352350922536,2.348809353553182,159.62695241110944,27.173488695571717,0.0,1.0,1.8229620763237506,0.141584222189663,0.7190647037574909,0.20321573029708664,0.6696531158662452,0.14626932721413435,33.120000000000005
